IPC;Energy:;superscalar:;rename:;reorder:;rsb_architecture:;rs_per_rsb;separate_dispatch;integer:;floating:;branch:;memory:
1,74100;0,86084;7;367;262;1;3;0;5;7;3;7
1,74100;0,86084;13;446;349;2;6;0;6;2;7;8
1,74100;0,86084;12;251;116;0;2;1;8;7;8;2
1,74100;0,86084;11;408;143;1;8;1;1;7;5;5
1,74100;0,86084;2;369;96;1;6;0;7;6;3;3
1,74100;0,86084;12;87;224;1;8;0;4;3;6;6
1,74100;0,86084;5;453;400;0;6;1;8;8;4;5
1,74100;0,86084;8;25;488;1;4;0;2;4;3;2
1,73872;0,86204;3;512;321;1;5;0;8;1;5;8
1,73872;0,86204;15;429;14;1;2;1;8;4;1;2
1,73872;0,86204;1;445;499;2;7;0;2;4;6;2
1,73872;0,86204;16;386;390;2;1;0;1;6;8;5
1,73872;0,86204;4;48;452;1;7;1;8;2;3;1
1,73872;0,86204;7;445;172;2;4;1;8;7;8;3
1,73872;0,86204;12;101;247;2;8;1;7;8;3;4
1,73872;0,86204;12;326;173;1;2;1;3;3;4;6
1,74243;0,86005;9;298;92;1;6;0;6;2;6;6
1,74243;0,86005;1;260;266;0;5;0;7;2;5;6
1,73988;0,86038;9;220;405;0;4;1;2;3;3;5
1,74243;0,86005;8;137;471;0;5;1;7;6;8;1
1,74243;0,86005;13;251;114;1;6;0;5;6;3;7
1,73988;0,86038;14;360;339;1;1;0;7;5;3;4
1,73988;0,86038;13;252;301;0;7;1;3;3;8;2
1,73988;0,86038;11;70;427;2;5;1;8;8;7;1
1,73890;0,86114;7;187;379;1;4;0;2;3;2;8
1,73890;0,86114;14;55;150;2;5;1;8;8;3;2
1,73890;0,86114;2;250;233;2;7;1;5;8;7;2
1,73890;0,86114;1;176;276;0;1;0;1;7;1;8
1,73890;0,86114;1;405;254;1;2;1;2;1;8;5
1,73890;0,86114;5;266;380;2;4;1;2;3;8;1
